label,result,vertices,edges,runtime
6,sat,2,1,"1.28365
"
7,sat,4,2,"1.3964713
"
10,sat,6,5,"1.8202175999999999
"
11,sat,2,1,"1.2003259000000002
"
12,sat,6,5,"1.3927560999999997
"
13,sat,6,4,"1.2522981000000009
"
14,sat,6,6,"1.2463531000000003
"
15,sat,2,1,"1.2065456
"
16,sat,4,3,"1.2686258000000006
"
17,sat,4,4,"1.2926026999999998
"
18,sat,4,3,"1.8652587999999977
"
19,sat,4,2,"2.0428376999999998
"
20,sat,6,4,"1.4914528999999987
"
21,sat,3,2,"1.5865823999999975
"
22,sat,5,4,"1.4375298
"
23,sat,6,3,"1.7500114000000018
"
24,sat,8,6,"2.1741680000000017
"
25,sat,9,11,"2.0300773999999997
"
26,sat,3,2,"1.6355660999999984
"
27,sat,8,7,"2.2386254999999977
"
28,sat,2,1,"1.4765405999999999
"
29,sat,3,3,"1.6254393999999976
"
30,sat,5,4,"4.2463082999999955
"
31,sat,8,9,"2.1006531999999964
"
32,sat,8,8,"4.280456600000001
"
33,sat,6,4,"2.163536899999997
"
34,sat,5,3,"2.3947835000000026
"
35,sat,6,5,"1.5750500999999986
"
36,sat,6,6,"1.8873529999999974
"
37,sat,5,5,"1.6077690000000047
"
38,sat,5,4,"1.5643902999999995
"
39,sat,8,8,"1.8348694000000023
"
40,sat,8,7,"1.8240122999999997
"
46,sat,3,2,"1.7058408999999983
"
47,sat,2,1,"1.6737856999999963
"
48,sat,3,3,"1.7411709999999943
"
49,sat,5,4,"2.0386993999999987
"
50,sat,2,1,"3.476799100000008
"
51,sat,4,3,"2.6240008000000046
"
52,sat,2,1,"1.8923731999999944
"
53,sat,4,2,"1.7046031
"
54,sat,6,4,"2.2993537999999916
"
55,sat,5,6,"1.439080599999997
"
56,sat,7,8,"1.6149733999999967
"
57,sat,7,8,"1.4980871000000064
"
58,sat,7,5,"1.5525465000000054
"
59,sat,5,5,"1.4470172999999988
"
60,sat,4,2,"1.4324859000000032
"
61,sat,7,4,"1.3926964999999996
"
62,sat,5,4,"1.4511007999999919
"
63,sat,5,3,"1.4030620000000056
"
64,sat,7,4,"1.482111400000008
"
65,sat,5,5,"1.390766499999998
"
66,sat,5,4,"1.5275974999999988
"
67,sat,4,3,"1.3929527000000093
"
68,sat,5,5,"1.4024740000000122
"
69,sat,3,2,"1.4137230000000045
"
70,sat,5,5,"1.5041472999999996
"
71,sat,3,3,"1.386802000000003
"
72,sat,5,5,"1.5761269000000055
"
73,sat,7,7,"1.7907940000000053
"
74,sat,4,3,"1.6400903999999912
"
75,sat,6,6,"1.6451287000000008
"
76,sat,4,4,"3.3031671000000102
"
77,sat,6,6,"2.0436837000000025
"
78,sat,5,5,"1.7304778000000027
"
79,sat,4,2,"1.9063936000000012
"
80,sat,5,4,"1.5211118
"
81,sat,6,7,"1.7963366999999977
"
82,sat,6,4,"1.6239298999999932
"
83,sat,6,3,"1.7265695000000107
"
84,sat,5,6,"1.5744503999999893
"
85,sat,7,7,"1.7378229999999917
"
86,sat,7,8,"1.730759599999999
"
87,sat,5,5,"1.5909268000000054
"
88,sat,4,3,"1.6126774999999895
"
89,sat,5,4,"1.5985529999999812
"
90,sat,4,3,"1.5639943000000187
"
91,sat,6,4,"1.6635704999999916
"
92,sat,8,8,"1.7353723999999886
"
93,sat,6,4,"1.583604699999995
"
94,sat,7,8,"1.650479699999977
"
95,sat,6,5,"1.580839999999995
"
96,sat,6,6,"1.6428760000000011
"
97,sat,4,4,"1.651124699999997
"
98,sat,9,10,"1.7336157999999955
"
99,sat,7,7,"1.6423017999999843
"
100,sat,6,6,"1.746929399999999
"
101,sat,5,3,"1.7300277999999878
"
102,sat,7,6,"1.577359300000012
"
103,sat,5,4,"1.590027699999979
"
104,sat,7,7,"1.7158106999999916
"
105,sat,4,4,"1.7170380999999963
"
106,sat,3,2,"1.8052055999999936
"
107,sat,5,4,"1.8826147000000049
"
108,sat,6,5,"1.901809500000013
"
109,sat,6,5,"1.7842113999999754
"
110,sat,8,8,"1.654934699999984
"
111,sat,6,6,"1.849167399999999
"
112,sat,7,8,"1.9767724000000158
"
113,sat,8,6,"2.0801198999999997
"
114,sat,8,7,"1.9823906000000022
"
115,sat,8,8,"1.7900744999999745
"
116,sat,8,8,"1.8134100000000046
"
