graphs_name,embeddability,embeddability_bool
IpD?GUbV?,minimally unembeddable,unsat
IqKaK?X@w,3-grid embeddable,sat
IsP@OkWHG,3-grid embeddable,sat
IsPH@CYDO,3-grid embeddable,sat
It?IQGiDO,minimally unembeddable,unsat
J@`ICC[Gv_?,minimally unembeddable,unsat
J@`KACXHf_?,minimally unembeddable,unsat
J@aIACXHf_?,5-grid embeddable,sat
JK?KQSSHN_?,5-grid embeddable,sat
JK`POB`DOU_,unembeddable,unsat
JRPCSGoAgJ_,minimally unembeddable,unsat
J`?I@SUbF_?,5-grid embeddable,sat
J`hSA?hD_F_,minimally unembeddable,unsat
JsOH?`JH_i_,minimally unembeddable,unsat
K@QCAGbA_g~?,5-grid embeddable,sat
K@QCAGbB?c~?,5-grid embeddable,sat
K@QCAGdA_c~?,minimally unembeddable,unsat
K@aAAAiXOqAp,3-grid embeddable,sat
KAICH@@DOT^?,minimally unembeddable,unsat
KCObdRCC_Q_f,3-grid embeddable,sat
KGD?X?P`cB~?,unembeddable,unsat
KK?AhqG`ITCi,unembeddable,unsat
KKaAPHOK?S_l,5-grid embeddable,sat
KQ?GPGQPSD~?,unembeddable,unsat
KQ?H?_J`QK~?,5-grid embeddable,sat
K_CcSL_SHTAi,unembeddable,unsat
K_GTAQOP@KbK,minimally unembeddable,unsat
K`?KA@se_YCX,minimally unembeddable,unsat
K`?KAAYTPWCX,unembeddable,unsat
K`?LAIGS?[eK,13-grid embeddable,sat
K`?LAQOP@KbK,minimally unembeddable,unsat
K`?_O`BBcI~?,unembeddable,unsat
K`CcA?raaI@b,unembeddable,unsat
K`GSKP?OHTAi,25-grid embeddable,sat
K``@GqOW?Q_t,9-grid embeddable,sat
K``AC?kE`FAi,3-grid embeddable,sat
KhCK??ZHeA?j,unembeddable,unsat
KhCK??Z`bA?j,5-grid embeddable,sat
KiGSC?YH_R?j,3-grid embeddable,sat
KkGO?CraaI@b,5-grid embeddable,sat
Kk_@HPCC?b`q,9-grid embeddable,sat
Kk_H@DCC?b`q,5-grid embeddable,sat
Kk_J@?DC?b`q,5-grid embeddable,sat
Kk_i?C`C?b`q,9-grid embeddable,sat
Kko_GC`C?b`q,minimally unembeddable,unsat
Ko@PaOg_?h`Y,3-grid embeddable,sat
KoD@I_g_?e`e,minimally unembeddable,unsat
KoDAH_g_?i`U,5-grid embeddable,sat
KoDPS?XP@C_N,5-grid embeddable,sat
KoDPaOg_?H_Z,3-grid embeddable,sat
KpD@_XG_?I_V,7-grid embeddable,sat
KpLA?gI_?I_V,5-grid embeddable,sat
KpT@?gI_?I_V,25-grid embeddable,sat
KqCaC?[I_J?Z,minimally unembeddable,unsat
KqGO?FAIOi`s,unembeddable,unsat
KqGqO_H_?K_N,3-grid embeddable,sat
KqHPO_H_?K_N,5-grid embeddable,sat
KqI?O`QIOL?j,unembeddable,unsat
Ks?A@SUH?oh_,3-grid embeddable,sat
Ks?APKSEAGdC,9-grid embeddable,sat
Ks?I@?XDaTCi,minimally unembeddable,unsat
Ks@H@PAC?b`q,5-grid embeddable,sat
Kt??OT@P_wCc,5-grid embeddable,sat
Kt??WP@P_qCc,5-grid embeddable,sat
Kt?G?DIPOqCo,3-grid embeddable,sat
Kt?G?DKOoqCo,minimally unembeddable,unsat
Kt?GGLAOOpDA,9-grid embeddable,sat
Kt?GOHAOWsCg,25-grid embeddable,sat
KwCOPHA_?h`Y,21-grid embeddable,sat
KyGO_WI_?I_V,unembeddable,unsat
K{?i?OBC?b`q,5-grid embeddable,sat
L??E@SVkCWk_U@,3-grid embeddable,sat
L??G]OxhAgkOc`,3-grid embeddable,sat
L??KbF?gG]JCLC,unembeddable,unsat
L??MDDQHOhl?e@,unembeddable,unsat
L??X@EQQiaPHx?,3-grid embeddable,sat
L??Y@EFS`QUAqA,unembeddable,unsat
L?C_SCfQcaI`wC,unembeddable,unsat
L?C`OiaSQSOhoK,unembeddable,unsat
L?D_ACb`_syGiG,5-grid embeddable,sat
L?GQACiDSLPI{?,unembeddable,unsat
L?GSACraaIJAhA,unembeddable,unsat
L?Oq@CRcHQPBp_,unembeddable,unsat
L?Os@C`EqPQDp_,unembeddable,unsat
L?_PABo`aIdOEP,embeddable,sat
L?_Q@BobAEdGD`,unembeddable,unsat
L?a?_`IIQICo{?,3-grid embeddable,sat
L?a?_cgPISCg{?,minimally unembeddable,unsat
L?a?_dGIIICo{?,9-grid embeddable,sat
L?a@?`IPOkDG{?,5-grid embeddable,sat
L?a@?`IPPKBG{?,7-grid embeddable,sat
L?a@?ccEIKHG{?,9-grid embeddable,sat
L?aI?dAGPGbC{?,5-grid embeddable,sat
L?aI@DIHSeFCTC,unembeddable,unsat
L?aIACaCPHBA{?,minimally unembeddable,unsat
L?aIACaGOhBA{?,5-grid embeddable,sat
L?d_?FAgPdIIBo,3-grid embeddable,sat
L?hO?cacR@osQo,embeddable,sat
L?hca_??HQasoK,13-grid embeddable,sat
L?otBAOS?W?R?Z,3-grid embeddable,sat
L?qbC`O?@o_e?t,3-grid embeddable,sat
L@?ACGURCQDP{C,unembeddable,unsat
L@?ACKSRCPDP{C,5-grid embeddable,sat
L@?ACOTRCKDP{C,unembeddable,unsat
L@?AS?SbAJDW{C,unembeddable,unsat
L@?ASMGP?occ{?,5-grid embeddable,sat
L@?ASMGP?pCa{?,9-grid embeddable,sat
L@?ASTC`?gdC{?,5-grid embeddable,sat
L@?CAHGb@UAs{C,unembeddable,unsat
L@?CAMIQ?gd_{?,5-grid embeddable,sat
L@?CAPCb@UAs{C,unembeddable,unsat
L@?CAPDE`KP_{@,13-grid embeddable,sat
L@?CAPDb?sCo{?,5-grid embeddable,sat
L@?CATCD`PP_{@,5-grid embeddable,sat
L@?CATCaGkD_{?,5-grid embeddable,sat
L@?CATCb?kDC{?,5-grid embeddable,sat
L@?CCTCQGkD_{?,13-grid embeddable,sat
L@?CQICQGeD_{?,5-grid embeddable,sat
L@?CSLGP?occ{?,5-grid embeddable,sat
L@?CSLGP?pCa{?,5-grid embeddable,sat
L@?IAE?b@TAk{C,5-grid embeddable,sat
L@?IAE@a_hD_{?,5-grid embeddable,sat
L@?IAEAb?hDG{?,5-grid embeddable,sat
L@?IAIDa?cdO{?,5-grid embeddable,sat
L@?IAIEa?adO{?,9-grid embeddable,sat
L@?IC?QRCJDW{C,minimally unembeddable,unsat
L@?IC?TRCEDP{C,embeddable,sat
L@?IC@DCpSP_{@,9-grid embeddable,sat
L@?IC@DaOkDO{?,5-grid embeddable,sat
L@?IC@Db?eDO{?,9-grid embeddable,sat
L@?ICADCpSH_{@,9-grid embeddable,sat
L@?ICADR?eDO{?,5-grid embeddable,sat
L@?ICAIPOeD_{?,5-grid embeddable,sat
L@?ICDCCXSP_{@,5-grid embeddable,sat
L@?ICDCb?bDO{?,5-grid embeddable,sat
L@?ICDG`OkDC{?,5-grid embeddable,sat
L@?ICPE`?cdG{?,5-grid embeddable,sat
L@?KA@E`OsDG{?,9-grid embeddable,sat
L@?KA@I`OkDG{?,9-grid embeddable,sat
L@?KAAEPOsDG{?,9-grid embeddable,sat
L@?KAAIPOeD_{?,5-grid embeddable,sat
L@?KAAIPOkDG{?,minimally unembeddable,unsat
L@?KACraaIJAhA,unembeddable,unsat
L@?KAD@a_hD_{?,9-grid embeddable,sat
L@?KAEADHQH_{@,5-grid embeddable,sat
L@?KAECPGqDO{?,13-grid embeddable,sat
L@?KAPCCpDP_{@,13-grid embeddable,sat
L@?KAPCb?eCS{?,9-grid embeddable,sat
L@?KC@HP`SAg{?,9-grid embeddable,sat
L@?KCDDQ?cd_{?,5-grid embeddable,sat
L@?KCDGPOkDC{?,5-grid embeddable,sat
L@?KCGPRADDP{C,minimally unembeddable,unsat
L@?KG_aRABPH{C,13-grid embeddable,sat
L@?KG_gRABOX{C,unembeddable,unsat
L@?KQQCP?ccK{?,9-grid embeddable,sat
L@?PAEHQ?Wop{C,unembeddable,unsat
L@?SAChQ?Wop{C,5-grid embeddable,sat
L@?_aPCa?Tow{C,13-grid embeddable,sat
L@@?`PCa?Tow{C,5-grid embeddable,sat
L@@?cOcQ?Tow{C,13-grid embeddable,sat
L@@@?iHQ?Sop{C,unembeddable,unsat
L@@@Ga@Q?Rpo{C,unembeddable,unsat
L@@C?ccQ?Rpo{C,unembeddable,unsat
L@@C?eCQ?Rdo{C,25-grid embeddable,sat
L@@C?iHQ?Scp{C,minimally unembeddable,unsat
L@@C?ocQ?Tow{C,unembeddable,unsat
L@@C?qDQ?Scp{C,minimally unembeddable,unsat
L@@CGa@Q?Rdo{C,unembeddable,unsat
L@AA?eCQ?Rdo{C,unembeddable,unsat
L@OCAC`BGgOp}?,5-grid embeddable,sat
L@OCCCSHAD@i}?,41-grid embeddable,sat
L@OCK@CCXA@p}?,5-grid embeddable,sat
L@PCCBPHOk@PID,unembeddable,unsat
L@PCCB`DPo@P@d,unembeddable,unsat
L@Q?CDBK_[tGTG,unembeddable,unsat
L@Q@?_EAQDOJ~?,5-grid embeddable,sat
